			
Protein Name	Protein Name	 Kd(M)	|Es|(kT)
			
NifL protein	GlnK protein	1.00E-06	13.8
Barnase	Barstar	5.30E-15	31.9
Dihydrolipoyl dehydrogenase	Dihydrolipoyl acetyltransferase	5.88E-10	21.3
Pyruvate decarboxylase	Dihydrolipoyl acetyltransferase	3.23E-10	21.8
Beta-trypsin	Pancreatic trypsin inhibitor	5.00E-14	30.6
Alpha-chymotrypsin	Pancreatic trypsin inhibitor	1.10E-08	18.3
Pelle protein	Tube protein	1.40E-06	13.5
Colicin E2	Immunity protein Im2	3.90E-15	33.2
Colicin E2	Immunity protein Im7	1.40E-08	18.1
Colicin E2	Immunity protein Im8	3.80E-08	17.1
Colicin E2	Immunity protein Im9	1.20E-08	18.3
Colicin E7	Immunity protein Im2	3.60E-10	21.8
Colicin E7	Immunity protein Im8	3.70E-10	21.7
Colicin E7	Immunity protein Im9	3.80E-08	17.1
Colicin E8	Immunity protein Im2	1.80E-08	17.8
Colicin E8	Immunity protein Im7	1.00E-09	20.7
Colicin E8	Immunity protein Im9	6.40E-08	16.6
Colicin E9	Immunity protein Im2	1.50E-08	18
Colicin E9	Immunity protein Im9	1.62E-14	31.8
Chemotaxis protein CheA	Chemotaxis protein CheY	5.81E-07	14.4
Chemotaxis protein CheA	Chemotaxis protein CheB	3.54E-06	12.5
GrpE protein	Chaperone protein DnaK	2.25E-07	15.3
Antibody D1.3	Anti-D1.3 antibody E5.2	1.08E-08	18.4
Lysozyme	Antibody D1.3	1.25E-08	18.2
Fructose-1,6-bisphosphatase	Aldolase	4.00E-07	14.7
Raf protein	Ras protein	8.08E-08	16.3
Raf protein	Rap1A protein	4.96E-07	14.5
Interleukin-4	Interleukin-4 receptor alpha	1.50E-10	22.6
Ras protein	Byr2 protein kinase	1.82E-07	15.5
Ras protein	AF-6 protein	3.03E-06	12.7
Ras protein	RalGDS	1.00E-06	13.8
Rap1A protein	RalGDS	7.69E-08	16.4
Rap1A protein	Byr2 protein kinase	6.67E-08	16.5
Rap1A protein	AF-6 protein	2.00E-07	15.4
Ras-related protein TC21	Raf protein	6.25E-07	14.3
Ras-related protein TC21	RalGDS	4.55E-07	14.6
Ras-related protein R-Ras	Raf protein	4.55E-07	14.6
Ras-related protein R-Ras	RalGDS	1.59E-06	13.4
Cell division control protein 42	Wiskott-Aldrich syndrome protein	1.06E-07	16.1
FGFR signalling adaptor SNT-1	FGFR1	8.80E-06	11.7
FGFR signalling adaptor SNT-1	TRKA tyrosine kinase	1.76E-05	11
FGFR signalling adaptor SNT-1	TRKB tyrosine kinase	6.50E-06	12
FGFR signalling adaptor SNT-1	Interleukin-4 receptor alpha	1.00E-06	13.8
Tetranectin	Plasminogen	5.18E-05	9.9
Beta-catenin	TCF-4 protein	1.17E-08	18.2
Tissue factor	Activated coagulation factor VII	2.60E-12	26.6
Alpha-hemoglobin stabilizing protein	Alpha-hemoglobin	1.00E-07	16.1
Activated factor X	Phospholipase A2	8.60E-08	16.3
Epidermal growth factor receptor 2	Humanized 4D5 Fab	2.70E-10	22
Transferrin receptor protein	Transferrin	7.00E-09	18.8
Proliferating cell nuclear antigen	Cyclin-dependent kinase inhibitor 1 (p21)	8.77E-08	16.3
Activated coagulation factor VII	Tissue factor	6.30E-09	18.9
Granulocyte colony-stimulating factor receptor	Granulocyte colony-stimulating factor	1.96E-09	20.1
Centrin 3	XPC protein	1.10E-07	16.1
Centrin 2	XPC protein	2.00E-08	17.4
Growth hormone	Prolactin receptor	3.00E-09	19.6
Growth hormone	Growth hormone receptor	3.40E-10	21.8
Ferredoxin-NADP+ reductase	Ferredoxin	1.67E-07	15.6
Cytochrome C peroxidase	Cytochrome C iso-1	1.15E-06	13.7
