TABLE S1: Pearson Correlation for ORFs represented by multiple oligonucleotides			
Bozdech & Llinas et al.			

This table contains all of the ORFs represented in the analyzed dataset which 			
are represented by multiple oligonucleotides on the DNA microarray.			

Column 1: PlasmoDB ID			
Column 2: Oligonucleotide ID			
Column 3: Number of oligonucleotides for that ORF			
Column 4: The average Pearson correlation between these oligonucleotides			

PlasmoDB ID	Oligonucleotide ID	Number of oligos for this ORF	Average Pearson correlation
MAL13P1.103	m10202_2		
MAL13P1.103	m10202_5	4	0.970954557
MAL13P1.103	m10202_9		
MAL13P1.103	n244_2		
MAL13P1.105	m20060_1	2	0.856672223
MAL13P1.105	m29567_1		
MAL13P1.116	i14718_1	2	0.764285933
MAL13P1.116	m5441_1		
MAL13P1.118	m16622_2	2	0.977802841
MAL13P1.118	m16622_6		
MAL13P1.119	m18079_3	2	0.83857188
MAL13P1.119	m18079_4		
MAL13P1.123	m31208_7	2	0.961762536
MAL13P1.123	m31208_9		
MAL13P1.126	m7883_3	2	0.979904256
MAL13P1.126	m7883_5		
MAL13P1.13	i4582_1		
MAL13P1.13	m39668_5	3	0.883753618
MAL13P1.13	opfm60518		
MAL13P1.130	m38757_11	2	0.99581951
MAL13P1.130	m38757_7		
MAL13P1.132	i17314_1	2	0.928040075
MAL13P1.132	m33739_6		
MAL13P1.133	m33739_2		
MAL13P1.133	m33739_5	4	0.835957629
MAL13P1.133	m43799_14		
MAL13P1.133	m43799_15		
MAL13P1.134	m43799_10		
MAL13P1.134	m43799_6	4	0.946826912
MAL13P1.134	m43799_9		
MAL13P1.134	opfm60489		
MAL13P1.142	m24561_19	2	0.932444957
MAL13P1.142	opfm60525		
MAL13P1.144	m24561_3	2	0.923251542
MAL13P1.144	m24561_9		
MAL13P1.146	m29456_12		
MAL13P1.146	m29456_2	3	0.889413906
MAL13P1.146	m29456_8		
MAL13P1.147	m36520_1	2	0.986960109
MAL13P1.147	m36520_2		
MAL13P1.166	kn1689_3	2	0.878420875
MAL13P1.166	m18924_9		
MAL13P1.167	m18924_16	2	0.982442695
MAL13P1.167	m18924_17		
MAL13P1.169	m45542_1	2	0.941059228
MAL13P1.169	m45542_4		
MAL13P1.171	kn945_1	2	0.971020828
MAL13P1.171	opfm60526		
MAL13P1.178	m1962_1	2	-0.42187517
MAL13P1.178	m19791_1		
MAL13P1.179	j2975_2	2	0.964186747
MAL13P1.179	m35780_4		
MAL13P1.19	m26739_1		
MAL13P1.19	m46081_2	4	0.969654171
MAL13P1.19	m49138_1		
MAL13P1.19	m49138_2		
MAL13P1.190	m54626_1	2	0.899700532
MAL13P1.190	m54626_3		
MAL13P1.195	m41763_12	2	-0.025447545
MAL13P1.195	opfm60516		
MAL13P1.205	m50253_2	2	0.945801641
MAL13P1.205	opfm60504		
MAL13P1.212	m21368_1	2	0.962742952
MAL13P1.212	m21368_3		
MAL13P1.216	m55888_4		
MAL13P1.216	m55888_6	3	0.846032066
MAL13P1.216	opfm60547		
MAL13P1.218	m55888_8	2	0.67594232
MAL13P1.218	opfm60524		
MAL13P1.226	m35930_11		
MAL13P1.226	m35930_12	3	0.981014192
MAL13P1.226	m35930_13		
MAL13P1.228	m35930_8	2	0.990969288
MAL13P1.228	m35930_9		
MAL13P1.229	m35930_3	2	0.986872217
MAL13P1.229	m35930_4		
MAL13P1.234	i4738_1	2	0.61045862
MAL13P1.234	m11064_1		
MAL13P1.24	m29079_4	2	0.814397201
MAL13P1.24	opfm60531		
MAL13P1.243	m45339_1	2	0.954671144
MAL13P1.243	opfm60512		
MAL13P1.249	m21780_2	2	0.721987738
MAL13P1.249	m34527_1		
MAL13P1.269	m35892_1		
MAL13P1.269	m35892_2	3	-0.09140712
MAL13P1.269	m35892_3		
MAL13P1.271	m25872_4	2	0.296883653
MAL13P1.271	m25872_5		
MAL13P1.278	m40872_1	2	0.979403642
MAL13P1.278	m40872_4		
MAL13P1.293	i14729_1	2	0.964472995
MAL13P1.293	m3222_8		
MAL13P1.294	i1884_1		
MAL13P1.294	m3222_2	3	0.90400772
MAL13P1.294	opfm60477		
MAL13P1.298	m26245_1	2	0.921276749
MAL13P1.298	opfm60519		
MAL13P1.304	m36754_21		
MAL13P1.304	m36754_23	3	0.560444152
MAL13P1.304	opfm60468		
MAL13P1.31	m35935_1	2	0.906072016
MAL13P1.31	m35935_2		
MAL13P1.310	i14747_2	2	0.79817338
MAL13P1.310	m50721_5		
MAL13P1.315	j1901_1	2	0.957979035
MAL13P1.315	m25344_2		
MAL13P1.323	m1222_1	2	0.555810649
MAL13P1.323	m35008_1		
