TABLE S7: Vaccine candidate correlation table 																																																
Bozdech & Llinás et al.																																																

The similarity of all expression profiles to seven known vaccine candidates was evaluated																																																
by a Euclidian distance calculation to all expression profiles measured. These 262 ORFs																																																
constitute the top 5% of genes in the IDC with minimum distance to these seven ORFs.																																																
																																																
The seven candidates used are AMA1, MSP1, MSP3, MSP5, EBA 175, RAP1, and RESA1.																																																

Column 1: Oligonucleotide ID																																																
Column 2: PlasmoDB ID																																																
Column 3: PlasmoDB manual annotations																																																
Columns 4-47: Intensity ration data for every timepoint (TP)																																																


oligo	PlasmoDB ID	Manual annotation	TP1	TP2	TP3	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	TP15	TP16	TP17	TP18	TP19	TP20	TP21	TP22	TP24	TP25	TP26	TP27	TP28	TP30	TP31	TP32	TP33	TP34	TP35	TP36	TP37	TP38	TP39	TP40	TP41	TP42	TP43	TP44	TP45	TP46	TP47	TP48
b192	PFB0310c	merozoite surface protein 4	1.289	0.88104009	0.56844196	0.81846343	0.52607406	0.48830357	0.354	0.30195518	0.33447188	0.17727066	0.143	0.12132345	0.17228996	0.104	0.140582099	0.09812216	0.13042876	0.193	0.16696344	0.223	0.24152257	0.27966666	0.60715366	0.5565912	0.69754684	0.954	0.96105931	1.43164982	1.634	1.98978852	2.19949981	2.35239853	2.45652905	2.34109035	1.9924537	1.84674499	2.46868846	2.12786715	1.88226622	2.44000408	1.6825943	1.5383062	1.5213465	1.42460109	1.5974642	1.1171952
ks186_1	PF11_0064	hypothetical protein	1.528	1.25182082	0.67156641	0.80581331	0.59426884	0.40586271	0.439	0.42865794	0.38913265	0.32987758	0.245	0.23103083	0.20503929	0.222	0.377130444	0.32824199	0.39347836	0.481	0.62426232	0.525	0.69762867	0.77072016	0.49348151	0.9212544	0.92049954	0.792	0.78548919	0.99865863	0.912	1.50306145	1.68081183	2.00611887	2.19202429	2.94871789	2.55807876	2.22030571	2.45560586	2.9192424	2.19048024	2.28880733	1.8161336	1.47640527	1.3433776	0.58680272	0.618089	0.7216876
ks818_1	PF11_0338	Aquaglyceroporin	0.939	0.64625103	0.7881054	0.70714229	0.56747801	0.43249745	0.385	0.2711676	0.44379341	0.23122261	0.171	0.14326493	0.1238779	0.116	0.139740289	0.12732519	0.13810104	0.197	0.19492776	0.281	0.37714679	0.36197657	0.51152469	0.455829	0.47705319	0.804	0.82459722	1.1931909	1.345	1.94841291	2.64690339	2.32361056	2.40555177	3.14479623	2.74171055	2.37504055	3.94179041	2.99575014	1.87089302	2.26795255	1.2831907	1.03519582	1.0689612	0.99366781	0.9353159	0.8444314
