TABLE S4: 3D7 vs HB3 Competitive Genomic Hybridization Data
Bozdech & Llinas et al.

This table contains all of the intensity data from competitive genomic hybridizations of genomic  
DNA derived from the 3D7 and HB3 strains of P. falciparum. The averaged intensities from three
microarray hybridization experiments are listed.  A %3D7 intensity in the HB3 channel 
of '-1' indicates that signal in these spots for one or both of the strains was below background.
Strains used in this study were obtained from the Malaria Resource Center (MR4).

Column 1: Oligonucleotide ID
Column 2: PlasmoDB ID
Column 3: PlasmoDB Manual annotation 
Column 4: Averaged normalized intensity for strain 3D7
Column 5: Averaged normalized intensity for strain HB3
Column 6: % of 3D7 intensity in the HB3 channel

Oligonucleotide ID	PlasmoDB ID	Manual annotation	3D7 averaged normalized intensity	HB3 averaged normalized intensity	%3D7 intensity
A10325_1	PFA0065w	hypothetical protein, conserved in P. falciparum	1310.28	489.83	0.37
A10325_10	NULL		2892.05	2512.66	0.87
A10325_16	PFA0090c	stevor	538.62	67.16	0.12
A10325_20	PFA0095c	rifin	234.62	51.16	0.22
A10325_26	PFA0105w	stevor	754.95	697.5	0.92
A10325_29	PFA0110w	ring-infected erythrocyte surface antigen precursor	1091.62	987.5	0.9
A10325_30	PFA0110w	ring-infected erythrocyte surface antigen precursor	396.28	387.16	0.98
A10325_30j	NULL		65.43	67.81	1.04
A10325_32	PFA0110w	ring-infected erythrocyte surface antigen precursor	516.28	466.83	0.9
A10325_4	NULL		2101.62	1328.16	0.63
A10325_7	PFA0080c	rifin	390.95	128.5	0.33
A10935_1	PFB0640c	hypothetical protein, conserved	1198.95	1218.16	1.02
A11025_2	PFA0225w	LytB protein	644.62	620.16	0.96
A11546_1	PFB0100c	knob associated histidine-rich protein	940.95	36.16	0.04
A11962_1	NULL		1182.62	1225.16	1.04
A11962_3	PFA0660w	protein with DNAJ domain, dnj1/sis1 family	646.62	518.5	0.8
A12312_1	PFA0375c	patched family protein, putative	1053.62	1051.83	1
A12312_15	PFA0370w	hypothetical protein	853.62	818.5	0.96
A12312_7	NULL		327.62	358.16	1.09
A12696_3	PFA0125c	Ebl-1 like protein, putative	466.62	436.16	0.93
A12797_1	PFA0345w	centrin, putative	733.28	684.83	0.93
A13231_2	PFA0570w	hypothetical protein	1104.62	1153.5	1.04
A13725_11	PFA0515w	phosphatidylinositol-4-phosphate 5-kinase, putative	735.28	649.5	0.88
A13725_2	PFA0535c	kinesin, putative	627.62	539.83	0.86
A13725_5	PFA0530c	hypothetical protein, conserved	762.28	775.16	1.02
A13725_7	PFA0525w	transcription initiation factor TFIIB, putative	559.95	520.5	0.93
A1411_1	MAL6P1.160	pyruvate kinase, putative	373.95	379.83	1.02
A1411_2	NULL		667.95	675.83	1.01
A14195_4	PFA0330w	pfAARP2 protein	352.62	389.83	1.11
A14263_1	PFL2195w	hypothetical protein	694.76	795.17	1.14
A14680_4	PFA0400c	beta3 proteasome subunit, putative	907.95	840.83	0.93
A14797_1	NULL		600.28	546.5	0.91
A14801_11	PFA0615w	hypothetical protein	776.28	801.16	1.03
A14801_13	PFA0620c	glutamic acid-rich protein (garp)	1023.62	910.16	0.89
A14801_15	NULL		1267.95	1393.5	1.1
A14801_18	PFA0625w	hypothetical protein	466.62	438.5	0.94
A14801_2	PFA0580c	TatD-like deoxyribonuclease, putative	720.95	747.83	1.04
A14801_20	PFA0630c	hypothetical protein	401.95	630.16	1.57
A14801_24	PFA0635c	hypothetical protein	811.95	704.83	0.87
A14801_26	PFA0640c	hypothetical protein	1093.95	1074.5	0.98
A14801_28	NULL		120.88	143.03	1.18
A14801_33	PFA0655w	hypothetical protein	501.95	521.16	1.04
A14801_37	PFA0655w	hypothetical protein	829.95	732.16	0.88
A14801_5	PFA0585w	hypothetical protein	473.62	501.5	1.06
A14801_6	NULL		1289.95	1159.16	0.9
A14801_7	PFA0590w	ABC transporter, putative	661.62	586.16	0.89
A14801_8	NULL		425.28	459.83	1.08
A14801_9	PFA0610c	hypothetical protein, conserved in P. falciparum	916.76	1009.17	1.1
A15613_2	NULL		688.95	546.83	0.79
A15774_2	PF07_0078	hypothetical protein, conserved	885.76	972.17	1.1
A16096_2	NULL		490.28	421.83	0.86
A16096_5	PFA0665w	hypothetical protein	475.76	545.17	1.15
A16122_1	PFA0135w	hypothetical protein	616.28	554.5	0.9
A16972_1	NULL		742.76	892.17	1.2
A1700_1	PFA0360c	hypothetical protein	921.28	754.83	0.82
A1700_2	NULL		971.76	1135.17	1.17
A1700_3	PFA0350c	hypothetical protein	646.62	575.16	0.89
A1700_6	PFA0340w	hypothetical protein	1413.76	1247.17	0.88
A1718_1	PFA0545c	replication factor c protein, putative	439.28	410.83	0.94
A18792_1	NULL		841.62	831.83	0.99
A18792_10	PFA0015c	var-like protein	575.62	71.16	0.12
A18792_11	PFA0015c	var-like protein	561.95	199.16	0.35
A18792_13	PFA0020w	rifin	451.62	106.5	0.24
A18792_17	PFA0030c	rifin	475.28	389.16	0.82
A18792_19	PFA0040w	rifin	665.95	49.16	0.07
A18792_20	PFA0045c	rifin	359.28	109.5	0.3
A18792_4	NULL		20064.95	21664.16	1.08
A18792_6	PFA0005w	erythrocyte membrane protein 1 (PfEMP1)	433.62	44.83	0.1
A18792_8	PFA0010c	rifin	532.95	152.16	0.29
A19747_2	PF07_0130	stevor	627.28	199.5	0.32
A20643_1	MAL6P1.14	hypothetical protein, conserved in P. falciparum	4406.28	3686.16	0.84
A21885_1	PFA0410w	hypothetical protein	950.95	899.16	0.95
A21885_14	PFA0420w	hypothetical protein	418.28	449.83	1.08
