TABLE S6: Putative P. falciparum proteases and their expression data																																																
Bozdech & Llinas et al.																																																

The table was constructed by manually searching the database for any available putative protease annotations																																																
and contains 65 of the 92 proteases identified by Wu el al. Genome Research, 13, 2003.																																																

This table lists the PlasmoDB ID, oligo ID, manual annotation and expression values for all timepoints.																																																

PlasmoDB ID	oligo	Manual annotation	TP1	TP2	TP3	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	TP15	TP16	TP17	TP18	TP19	TP20	TP21	TP22	TP24	TP25	TP26	TP27	TP28	TP30	TP31	TP32	TP33	TP34	TP35	TP36	TP37	TP38	TP39	TP40	TP41	TP42	TP43	TP44	TP45	TP46	TP47	TP48
PFA0400c	a14680_4	beta3 proteasome subunit, putative	0.584	0.49979847	0.57263405	0.52371539	0.53581616	0.62274561	0.494	0.44997243	0.81730874	0.63971585	0.685	0.58080373	0.77459294	0.728	0.93524975	0.66349275	0.85381514	0.936	0.91706521	1.223	0.9205726	1.0793824	1.11146111	1.4658501	1.50165194	1.609	1.38209486	1.44509673	1.352	1.57076695	1.59358215	1.47641798	1.44467765	1.32083595	1.21766513	1.01630491	0.84252008	0.70410884	0.49587194	0.61130446	0.6154945	0.58740119	0.4764972	0.32549213	0.3977925	0.4091458
PFB0330c	b209	cysteine protease, putative	0.628	0.55791455	0.56928041	0.48702999	0.38359566	0.37669133	0.281	0.21906553	0.20432719	0.1633973	0.204	0.10454468	0.16089889	0.182	0.120378693	0.06191041	0.06795448	0.207	0.10938984	0.147	0.16813687	0.233835	0.60986016	0.7997	1.09918951	1.235	1.5651538	1.72568931	1.803	2.39752595	2.40866338	2.5070319	2.69506452	2.40357672	2.60325021	1.94837554	0.8935423	1.13207319	0.79612469	0.99190335	0.868005	0.78627467	0.815212	0.70714306	0.7993615	0.7160051
PFB0335c	b215	cysteine protease, putative	0.528	0.41146199	0.48879303	0.40859922	0.36532921	0.2663474	0.194	0.22143381	0.15096785	0.13102614	0.091	0.07614983	0.08828081	0.067	0.095966226	0.02569866	0.03507328	0.144	0.05263872	0.087	0.15698968	0.27498996	0.57467594	0.9100586	1.25410885	1.273	1.16991293	1.66652283	1.697	2.32530681	2.46775438	2.46837346	2.54213244	2.54578741	2.17903147	1.72222483	0.9628801	1.05078386	0.81773378	0.75859104	0.6397743	0.57949892	0.6969489	0.49167646	0.4217104	0.4852923
PFB0340c	b218	cysteine protease, putative	0.544	0.6009205	0.49466188	0.58949605	0.37872459	0.31073865	0.195	0.21077657	0.13925483	0.14335802	0.076	0.08389387	0.07831362	0.038	0.031988741	0.02569866	0.02630496	0.033	0.01727208	0.025	0.04273092	0.07389186	0.30763655	0.4358365	0.75902275	0.884	1.2680991	1.89512074	2.321	2.34260932	2.48745131	2.38529938	3.33083812	3.55742296	3.66281526	2.52702839	1.74522016	1.65328109	1.12822241	1.01145473	0.7599596	0.72700772	0.8186566	0.97762243	1.0700115	0.7887421
PFB0345c	b225	cysteine protease, putative	0.848	0.5765117	1.01196088	0.73750258	0.68681891	0.47562037	0.605	0.40971173	0.66243653	0.44548888	0.529	0.53046744	0.4371324	0.582	0.801402186	0.33174637	0.40224669	0.863	0.69252817	0.446	0.44124317	0.36010589	0.36357048	0.6021741	0.66967772	0.87	0.9177909	1.20932722	1.044	1.44287878	2.03160609	1.78897444	2.06890926	2.34863179	1.99343561	1.8247709	1.44955324	1.34007821	1.22830673	1.07532231	1.040392	0.96539249	0.833583	0.4790694	0.6911015	0.7330528
PFB0350c	b230	cysteine protease, putative	0.679	0.54977829	0.79145904	0.56419581	0.46031478	0.38937456	0.33	0.28419311	0.20302574	0.18806105	0.143	0.07485915	0.09682412	0.112	0.094282611	0.04088424	0.07781884	0.261	0.07978056	0.125	0.06502531	0.11037012	0.32297329	0.4582281	0.59426729	0.963	1.49109816	1.43792502	1.744	2.09962177	2.27922585	1.94607517	2.91243952	3.41198018	3.63040966	2.56914553	1.71120535	1.63295881	1.17030336	1.1131215	0.9626964	0.89427222	0.7164681	0.67849062	0.6269008	0.5193878
PFB0360c	b244	cysteine protease, putative	0.872	0.85779361	0.86523907	0.68563704	0.65515702	0.68489337	0.527	0.38129243	0.28241399	0.32371163	0.7	0.19618259	0.28335292	0.812	0.41837908	0.12966143		0.61		0.352	0.21272566	0.1917447	0.31304952	0.6685492	0.74754725	0.89	0.8520561	1.10981999	1.051	2.06727361	2.36082766	1.91399698	2.862424	2.92501602	3.35839903	1.93555734	1.15781097	1.1595681	0.81887115	1.09096339	1.0027582	1.06680483	0.8909924	0.60743244	0.7024311	0.5432546
PFC0310c	c199	ATP-dependent CLP protease, putative	0.586	0.57418705	0.48627779	0.48702999	0.304441	0.33737339	0.239	0.23445932	0.29412702	0.21734925	0.254	0.24006556	0.30755895	0.287	0.545492234	0.395993	0.55350019	0.639	0.7731312	0.811	1.04504963	0.9755596	1.57246491	1.3251029	1.50575033	1.6	1.54601582	1.90139595	2.046	1.82278178	2.30455054	1.68204733	1.64185407	1.28851536	1.41013476	1.05201295	1.2088332	1.01372548	0.5857203	0.72730895	0.6834781	0.57949892	0.5982049	0.76444803	0.803138	0.6239473
PFC0571c	c388	hypothetical protein	0.587	0.39054019	0.69001144	0.36179373	0.44326609	0.49845016	0.384	0.38129243	0.28892124	0.4917334	0.376	0.35364494	0.77459294	0.486	0.541283193	0.48126585	0.64995171	0.824	0.75750408	0.942	0.83232399	1.06815824	1.50480286	1.4186678	1.40574951	1.617	1.58179551	1.7911311	1.615	1.31875211	1.31876193	1.06022444	1.17343995	1.15384611	1.09295268	0.90185616	0.79673098	0.86907833	0.65623424	0.6530139	0.7259678	0.64271699	0.6682443	0.63035446	0.5992064	0.8057898
PFC0745c	c497	proteasome component C8, putative	0.461	0.41378664	0.39656792	0.51233027	0.46153257	0.46166883	0.45	0.56601795	0.81470581	0.71370709	0.653	0.76149822	1.04797863	0.711	0.931040709	0.67751016	0.89765677	0.967	0.76737386	1.116	1.02182632	0.96433556	1.4633035	1.2347368	1.10820601	1.742	1.41870667	1.5661191	1.739	1.81074523	1.67237019	1.31849479	1.40620424	1.19478555	0.96922214	0.96320072	0.74570876	0.64911901	0.57775909	0.59435998	0.4516054	0.44911165	0.4960164	0.58565656	0.5299704	0.5137052
