TABLE S2: P. falciparum functional gene groups																																																
Bozdech & Llinas et al.																																																

This table contains all of the ORFs, the corresponding oligonucleotides, and the expression data																																																
for the P. falciparum functional groups including transcription machinery, cytoplasmic translation																																																
machinery, the glycolytic pathway, ribonucleotied synthesis, deoxyribonucleotide synthesis, DNA																																																
replication machinery, the TCA cycle, the proteaseome, the plastid genome, merozoite invasion,																																																
actin myosin motility, early ring transcripts, mitochondrial genes and the organellar translational group.																																																

Transcription machinery																																																
oligo_ID	ORF_ID	Manual annotation	TP 1	TP 2	TP 3	TP 4	TP 5	TP 6	TP 7	TP 8	TP 9	TP 10	TP 11	TP 12	TP 13	TP 14	TP 15	TP 16	TP 17	TP 18	TP 19	TP 20	TP 21	TP 22	TP 24	TP 25	TP 26	TP 27	TP 28	TP 30	TP 31	TP 32	TP 33	TP 34	TP 35	TP 36	TP 37	TP 38	TP 39	TP 40	TP 41	TP 42	TP 43	TP 44	TP 45	TP 46	TP 47	TP 48
a3310_4	PFA0505c	DNA-directed RNA polymerase 2 subunit, putative	0.911	1.083284082	1.199764705	1.724212764	1.376073314	1.284809188	1.353	2.004745585	1.81291568	2.307601516	1.702	1.861153391	2.131554318	1.327	1.182741621	1.284933128	1.19906774	1.046	1.179436333	1.102	1.153734771	0.885767005	1.226035411	0.96923641	0.93771282	0.899	0.896988666	0.700136838	0.796	0.737989628	0.635932109	0.678576515	0.731957174	0.655031211	0.790500347	0.707751072	0.549469603	0.619233266	0.544776761	0.529188911	0.77938353	0.748080448	0.800285673	1.144952916	1.127917987	1.077417184
b182	PFB0290c	transcription factor, putative	1.185	1.392461703	2.308142748	1.607831558	1.585528784	1.709696771	1.232	1.548852467	2.191636768	1.939186897	1.908	2.160589982	2.134402049	1.845	1.330900004	1.620183786	1.781065	2.115	2.000271296	1.874	1.516018628	1.200976597	1.399250159	1.059602538	0.905745311	0.995	0.673157587	0.726134222	0.704	0.567973661	0.49805306	0.511605557	0.467452297	0.361990939	0.514561701	0.477937994	0.590025718	0.53674852	0.440143221	0.522671812	0.773313571	0.85212684	1.176890623	1.394802492	1.416191625	0.98081328
b471	PFB0715w	DNA-directed RNA polymerase II second largest subunit, putative	1.069	1.092582677	1.276898432	1.887399375	1.240901581	1.464910719	1.289	1.41859727	1.738733147	1.744959841	1.376	1.510089695	2.185661892	1.317	1.483267428	1.474168661	1.325112351	1.409	1.257571956	1.295	1.278211851	1.008296473	1.325273024	0.980432161	0.976237676	1.087	1.028458248	1.050653509	0.939	1.002793197	0.926697541	0.684334158	0.613651379	0.566688229	0.577408944	0.585977587	0.546853115	0.576197734	0.45834036	0.590449725	0.73810772	0.665106709	0.872621349	1.062433757	1.122882629	0.881936442
c105	PFC0155c	DNA-directed RNA polymerase subunit I, putative	1.34	1.111179798	1.552735318	1.6799372	1.719482696	1.622182615	1.351	1.577271836	1.919634356	1.866737071	1.684	1.636575909	2.147217095	1.456	1.654996461	1.126068628	1.567337143	1.638	1.219737873	1.628	1.095212026	1.246808168	1.525552546	1.067599531	1.148370298	1.259	0.85288813	0.837295522	0.968	0.659752172	0.725037671	0.570826803	0.54728469	0.409394515	0.469390249	0.488925041	0.510221771	0.424377992	0.415122176	0.608697617	0.724753824	0.766519049	0.986291805	1.306552844	1.272684254	1.08423626
c527	PFC0805w	DNA-directed RNA polymerase II, putative	1.292	1.421519864	1.626515448	1.977215273	1.63058598	1.658963828	1.53	1.590297398	1.898811162	2.034758961	1.959	2.014743661	2.288181578	1.609	2.090211781	1.561777791	1.525687636	1.948	1.413843105	1.492	1.392470524	1.501220718	1.328881725	1.055604042	0.95164733	1.282	1.276419957	1.049757005	1.141	1.19838686	0.837592035	0.725460018	0.582872622	0.586080608	0.684445662	0.5502696	0.477515277	0.518817037	0.395787697	0.632159204	0.640988301	0.619010208	1.045997461	0.896249424	1.413673983	1.106966558
e1086_1	PFE0305w	transcription initiation factor TFiid, TATA-binding protein	1.99	1.484285136	2.418812842	2.188472514	2.525642392	2.222098359	1.893	1.938433864	2.857977741	2.087169293	2.155	1.985058134	1.695845822	1.5	1.40329565	1.339834735	1.202355883	1.493	1.361204376	1.348	0.977237559	0.967141597	1.229644112	1.047606954	1.000828023	1.126	0.855384406	0.848053034	0.886	0.617624328	0.666884607	0.546151267	0.558826688	0.693815969	0.673643758	0.595133478	0.669829664	0.851146887	0.782476875	0.673868682	0.776955503	0.845541632	0.996625415	0.888226698	1.063717301	0.592124867
e5006_5	PFE0465c	RNA polymerase I	1.425	1.40059806	1.387568526	1.619216604	1.872921017	1.598084448	1.414	2.026060077	1.375629532	2.349221691	1.794	1.937303235	2.910418768	1.595	1.923533637	1.678589919	1.686805598	1.709	1.482108998	1.284	1.044120649	1.213136027	1.174612361	0.770910789	0.740989803	0.728	0.694791792	0.467953177	0.476	0.440085539	0.350794434	0.274720671	0.362612176	0.419090704	0.453678468	0.44589232	0.680295695	0.699327109	0.710825625	0.814638125	0.962696428	1.098413851	1.087332173	1.554110183	1.637746936	1.328587238
f28097_1	MAL6P1.141	hypothetical protein	0.421	0.588134911	0.766306719	0.678046985	0.650285951	1.119927464	0.756	1.359390426	1.464127875	1.684842096	1.539	1.311325842	1.460905017	1.464	1.399928357	1.351515934	1.282366753	1.406	1.987111589	2.242	2.089170384	1.945507129	2.166086181	1.868898815	2.16723132	1.846	1.196539638	1.004933948	1.078	0.808704261	0.872296297	0.687624233	0.61653685	0.545141105	0.482156105	0.455963816	0.345380902	0.358629314	0.38782645	0.307607358	0.461317334	0.362186833	0.512090967	0.668175722	0.718795902	0.438695184
f60886_1	PF07_0027	DNA-directed RNA polymerase 2 8.2 kDa polypeptide, putative	1.969	1.663282775	2.287182418	2.462980345	1.964253375	2.125705995	2.203	2.427482844	3.241904395	2.352304619	2.252	2.298692198	2.387853533	1.943	1.878075834	1.913382211	1.661596676	1.58	1.168744083	1.485	1.294003675	1.282351188	0.995984615	0.918855339	0.736071744	1.098	0.581628115	0.48498595	0.471	0.388178008	0.432396329	0.342989585	0.283741607	0.239172591	0.259244831	0.290242032	0.319215688	0.332329815	0.404886283	0.559167596	0.872860945	0.915344876	1.029922859	1.279046548	1.425003446	1.156973296
i16046_2	PFI1130c	DNA-directed RNA polymerase II, putative	1.283	1.243684601	1.497400271	1.951915037	1.30422522	1.52198526	1.7	1.971589725	3.077922167	2.38313427	2.304	1.823723759	1.819723748	1.665	1.916799051	1.627192561	1.578297663	1.552	1.701711125	1.668	1.797485302	1.2860925	1.216111725	1.089191391	1.01066424	1.008	1.046764201	0.723444817	0.554	0.66050449	0.677202069	0.502557888	0.43667354	0.418013364	0.349587734	0.353417747	0.298283508	0.36699733	0.303664695	0.355833935	0.593642568	0.590035282	0.786507413	0.697974322	0.883703602	1.042185167
